image,mask
data/bkai-igh-neopolyp/train/image/0081835cf877e004e8bfb905b78a9139.jpeg,data/bkai-igh-neopolyp/train/target/0081835cf877e004e8bfb905b78a9139.jpeg
data/bkai-igh-neopolyp/train/image/00d827b8bcf15050fb9af0ef92846b60.jpeg,data/bkai-igh-neopolyp/train/target/00d827b8bcf15050fb9af0ef92846b60.jpeg
data/bkai-igh-neopolyp/train/image/00f9b6c911c4aa179344271fa54aa1b2.jpeg,data/bkai-igh-neopolyp/train/target/00f9b6c911c4aa179344271fa54aa1b2.jpeg
data/bkai-igh-neopolyp/train/image/00fd197cd955fa095f978455cef3593c.jpeg,data/bkai-igh-neopolyp/train/target/00fd197cd955fa095f978455cef3593c.jpeg
data/bkai-igh-neopolyp/train/image/01c13a3d810b000db55759486b8aa1b8.jpeg,data/bkai-igh-neopolyp/train/target/01c13a3d810b000db55759486b8aa1b8.jpeg
data/bkai-igh-neopolyp/train/image/01e80947f9c02314fc58bdb26679bff5.jpeg,data/bkai-igh-neopolyp/train/target/01e80947f9c02314fc58bdb26679bff5.jpeg
data/bkai-igh-neopolyp/train/image/01ff069910ea2abe3c84417fda801941.jpeg,data/bkai-igh-neopolyp/train/target/01ff069910ea2abe3c84417fda801941.jpeg
data/bkai-igh-neopolyp/train/image/02000f9b6c911c4aa179344271fa54aa.jpeg,data/bkai-igh-neopolyp/train/target/02000f9b6c911c4aa179344271fa54aa.jpeg
data/bkai-igh-neopolyp/train/image/021bab9fc7330398846f67b5df7cdf3f.jpeg,data/bkai-igh-neopolyp/train/target/021bab9fc7330398846f67b5df7cdf3f.jpeg
data/bkai-igh-neopolyp/train/image/02345d341253851bc866ebe4d18d5401.jpeg,data/bkai-igh-neopolyp/train/target/02345d341253851bc866ebe4d18d5401.jpeg
data/bkai-igh-neopolyp/train/image/025ba0e3b6d0bf0b5633059989805234.jpeg,data/bkai-igh-neopolyp/train/target/025ba0e3b6d0bf0b5633059989805234.jpeg
data/bkai-igh-neopolyp/train/image/02b296cc5cfd263f1f90be2879923502.jpeg,data/bkai-igh-neopolyp/train/target/02b296cc5cfd263f1f90be2879923502.jpeg
data/bkai-igh-neopolyp/train/image/0317371a966bf4b3466463a3c64db170.jpeg,data/bkai-igh-neopolyp/train/target/0317371a966bf4b3466463a3c64db170.jpeg
data/bkai-igh-neopolyp/train/image/033c03b0af70cc0f6d32b726342865f6.jpeg,data/bkai-igh-neopolyp/train/target/033c03b0af70cc0f6d32b726342865f6.jpeg
data/bkai-igh-neopolyp/train/image/0351267e98bd886544a2a98ee309ce76.jpeg,data/bkai-igh-neopolyp/train/target/0351267e98bd886544a2a98ee309ce76.jpeg
data/bkai-igh-neopolyp/train/image/03983064a3eb4d49033c03b0af70cc0f.jpeg,data/bkai-igh-neopolyp/train/target/03983064a3eb4d49033c03b0af70cc0f.jpeg
data/bkai-igh-neopolyp/train/image/03d2cbbcfa4baf3866269959350e7998.jpeg,data/bkai-igh-neopolyp/train/target/03d2cbbcfa4baf3866269959350e7998.jpeg
data/bkai-igh-neopolyp/train/image/03f909df7cd066b37f538abe9de67869.jpeg,data/bkai-igh-neopolyp/train/target/03f909df7cd066b37f538abe9de67869.jpeg
data/bkai-igh-neopolyp/train/image/040781d54ffd6a8ee924dbd70f618d52.jpeg,data/bkai-igh-neopolyp/train/target/040781d54ffd6a8ee924dbd70f618d52.jpeg
data/bkai-igh-neopolyp/train/image/04414eaa922bca73d5379c7c851a5082.jpeg,data/bkai-igh-neopolyp/train/target/04414eaa922bca73d5379c7c851a5082.jpeg
data/bkai-igh-neopolyp/train/image/0449922d6157edc3d82df22c41b503dc.jpeg,data/bkai-igh-neopolyp/train/target/0449922d6157edc3d82df22c41b503dc.jpeg
data/bkai-igh-neopolyp/train/image/0449ad43fe2cd066b9fdbc3bbc04a3af.jpeg,data/bkai-igh-neopolyp/train/target/0449ad43fe2cd066b9fdbc3bbc04a3af.jpeg
data/bkai-igh-neopolyp/train/image/047dc0cbb58aa032554b5eb4fcf0130a.jpeg,data/bkai-igh-neopolyp/train/target/047dc0cbb58aa032554b5eb4fcf0130a.jpeg
data/bkai-igh-neopolyp/train/image/04801b37705c1e555525d4f09ce7270b.jpeg,data/bkai-igh-neopolyp/train/target/04801b37705c1e555525d4f09ce7270b.jpeg
data/bkai-igh-neopolyp/train/image/0496b83ef461c2a337948a41964c1d4f.jpeg,data/bkai-igh-neopolyp/train/target/0496b83ef461c2a337948a41964c1d4f.jpeg
data/bkai-igh-neopolyp/train/image/04c34a359bbb402345d341253851bc86.jpeg,data/bkai-igh-neopolyp/train/target/04c34a359bbb402345d341253851bc86.jpeg
data/bkai-igh-neopolyp/train/image/04ccdc265a0b0a1230b118fa8625605d.jpeg,data/bkai-igh-neopolyp/train/target/04ccdc265a0b0a1230b118fa8625605d.jpeg
data/bkai-igh-neopolyp/train/image/04f234b701fc691ffa02f6068b683019.jpeg,data/bkai-igh-neopolyp/train/target/04f234b701fc691ffa02f6068b683019.jpeg
data/bkai-igh-neopolyp/train/image/051fc90e85d064f787d4be168d951058.jpeg,data/bkai-igh-neopolyp/train/target/051fc90e85d064f787d4be168d951058.jpeg
data/bkai-igh-neopolyp/train/image/052600f1f93e952886d1697f8af9b550.jpeg,data/bkai-igh-neopolyp/train/target/052600f1f93e952886d1697f8af9b550.jpeg
data/bkai-igh-neopolyp/train/image/0528810e9d05be942fd5dd0902e0db22.jpeg,data/bkai-igh-neopolyp/train/target/0528810e9d05be942fd5dd0902e0db22.jpeg
data/bkai-igh-neopolyp/train/image/054d694539ef2424a9218697283baa36.jpeg,data/bkai-igh-neopolyp/train/target/054d694539ef2424a9218697283baa36.jpeg
data/bkai-igh-neopolyp/train/image/0676289b3e732adb4c5d1580670d78b9.jpeg,data/bkai-igh-neopolyp/train/target/0676289b3e732adb4c5d1580670d78b9.jpeg
data/bkai-igh-neopolyp/train/image/069910ea2abe3c84417fda8019410b1f.jpeg,data/bkai-igh-neopolyp/train/target/069910ea2abe3c84417fda8019410b1f.jpeg
data/bkai-igh-neopolyp/train/image/06cb09d1fc6869d7b4193425b976973f.jpeg,data/bkai-igh-neopolyp/train/target/06cb09d1fc6869d7b4193425b976973f.jpeg
data/bkai-igh-neopolyp/train/image/076135d76d0bbd4ce2a1405f7d507592.jpeg,data/bkai-igh-neopolyp/train/target/076135d76d0bbd4ce2a1405f7d507592.jpeg
data/bkai-igh-neopolyp/train/image/077bad31c8c5f54ffaa27a623511c389.jpeg,data/bkai-igh-neopolyp/train/target/077bad31c8c5f54ffaa27a623511c389.jpeg
